site,depth,chl,af_1,af_2,af_3,af_4,af_5,af_6,avg
QU39,0,1.262659122,4.585,4.489,4.303,,,,4.459
QU39,5,1.270152393,4.542,5.015,5.651,,,,5.069333333
QU39,10,1.003760787,5.516,5.435,5.346,,,,5.432333333
QU39,20,0.413587743,1.391,1.292,1.743,1.437,,,1.46575
QU38,0,1.28505259,5.887,2.926,3.68,,,,4.164333333
QU38,5,25.48234624,47.61,35.61,28.57,52.81,21.5,34.24,36.72333333
QU38,8,8.620787437,28.48,17.28,23.81,,,,23.19
