depth,flu,gem_1,gem_2,gem_3,gem_4
1,1.408581857,4.585,4.489,4.303,
2,1.438412143,,,,
3,1.641990221,,,,
4,1.640038933,,,,
5,1.428051449,4.542,5.015,5.651,
6,1.2827616,,,,
7,1.306926282,,,,
8,1.561002586,,,,
9,1.703721098,,,,
10,1.6942234,5.516,5.435,5.346,
11,1.483849126,,,,
12,1.120765368,,,,
13,1.002193368,,,,
14,0.890503366,,,,
15,0.853274249,,,,
16,0.750022167,,,,
17,0.69227266,,,,
18,0.62753597,,,,
19,0.45122331,,,,
20,0.319079133,1.391,1.292,1.743,1.437
