depth,replicate,type,chl,turb_ftu
1,1,field,1.987,0
1,2,field,2.06,0
1,3,field,2.218,0
1,1,lab,5.887,0
1,2,lab,2.926,0
1,3,lab,3.68,0
1,1,light,2.097,0
5,1,field,26.43,0
5,2,field,27.2,0
5,3,field,24.02,0
5,1,lab,47.61,0
5,2,lab,35.61,0
5,3,lab,28.57,0
5,4,lab,52.81,0
5,5,lab,21.5,0
5,6,lab,34.24,0
5,1,light ,11.82,0
8,1,field,23.21,0
8,2,field,18.09,0
8,3,field,15.47,0
8,1,lab,28.48,0
8,2,lab,17.28,0
8,3,lab,23.81,0
8,1,light ,8.214,0
