id,chl,perc_change
post-cali,11.57,
2024-08-06_1,11.58,0.086355786
2024-08-07_1,12.29,5.858421481
2024-08-07_2,12.17,4.930156122
2024-08-20_1,11.72,1.279863481
2024-08-20_2,12.17,4.930156122
